merchant_id,merchant_name,category,city,status,merchant_size,created_at
M000001,Groceries Merchant 00001,Groceries,Surabaya,ACTIVE,MEDIUM,2024-05-17 19:33:33
M000002,Retail Merchant 00002,Retail,Yogyakarta,ACTIVE,SMALL,2023-06-22 18:17:37
M000003,Food & Beverage Merchant 00003,Food & Beverage,Tangerang,ACTIVE,LARGE,2025-04-12 07:54:24
M000004,Groceries Merchant 00004,Groceries,Medan,ACTIVE,SMALL,2025-01-08 20:36:41
M000005,Retail Merchant 00005,Retail,Semarang,ACTIVE,MEDIUM,2026-05-02 00:47:12
M000006,Retail Merchant 00006,Retail,Semarang,ACTIVE,SMALL,2025-10-30 08:10:58
M000007,Food & Beverage Merchant 00007,Food & Beverage,Medan,ACTIVE,SMALL,2023-07-19 07:07:39
M000008,Fashion Merchant 00008,Fashion,Denpasar,ACTIVE,SMALL,2024-09-15 08:36:13
M000009,Travel Merchant 00009,Travel,Medan,ACTIVE,SMALL,2025-10-28 05:54:49
M000010,Groceries Merchant 00010,Groceries,Semarang,ACTIVE,SMALL,2023-01-09 11:15:34
M000011,Entertainment Merchant 00011,Entertainment,Tangerang,ACTIVE,SMALL,2022-06-07 14:11:23
M000012,Electronics Merchant 00012,Electronics,Yogyakarta,ACTIVE,SMALL,2024-02-02 09:10:11
M000013,Education Merchant 00013,Education,Surabaya,ACTIVE,SMALL,2023-10-25 05:08:32
M000014,Retail Merchant 00014,Retail,Denpasar,ACTIVE,SMALL,2023-12-13 14:23:18
M000015,Healthcare Merchant 00015,Healthcare,Medan,ACTIVE,SMALL,2024-11-15 22:19:07
M000016,Fashion Merchant 00016,Fashion,Medan,ACTIVE,SMALL,2023-11-09 14:08:47
M000017,Fashion Merchant 00017,Fashion,Denpasar,ACTIVE,MEDIUM,2024-07-13 10:55:25
M000018,Transportation Merchant 00018,Transportation,Jakarta,ACTIVE,SMALL,2025-09-03 09:46:41
M000019,Healthcare Merchant 00019,Healthcare,Palembang,ACTIVE,MEDIUM,2025-09-11 17:17:16
M000020,Electronics Merchant 00020,Electronics,Surabaya,ACTIVE,SMALL,2025-01-11 04:06:18
M000021,Education Merchant 00021,Education,Makassar,ACTIVE,MEDIUM,2025-11-11 15:35:17
M000022,Education Merchant 00022,Education,Tangerang,ACTIVE,SMALL,2024-07-21 03:22:12
M000023,Healthcare Merchant 00023,Healthcare,Palembang,INACTIVE,SMALL,2022-07-30 17:56:48
M000024,Transportation Merchant 00024,Transportation,Jakarta,ACTIVE,SMALL,2026-03-01 07:12:09
M000025,Fashion Merchant 00025,Fashion,Palembang,ACTIVE,SMALL,2024-01-31 16:52:10
M000026,Electronics Merchant 00026,Electronics,Bandung,ACTIVE,MEDIUM,2024-09-23 08:50:49
M000027,Entertainment Merchant 00027,Entertainment,Surabaya,ACTIVE,MEDIUM,2024-04-13 16:25:55
M000028,Transportation Merchant 00028,Transportation,Yogyakarta,ACTIVE,MEDIUM,2026-06-17 01:32:34
M000029,Fashion Merchant 00029,Fashion,Yogyakarta,ACTIVE,MEDIUM,2026-07-12 06:34:21
M000030,Travel Merchant 00030,Travel,Jakarta,ACTIVE,SMALL,2022-12-22 14:42:12
M000031,Healthcare Merchant 00031,Healthcare,Jakarta,ACTIVE,SMALL,2025-11-30 02:59:58
M000032,Education Merchant 00032,Education,Bandung,ACTIVE,SMALL,2024-09-11 09:36:18
M000033,Healthcare Merchant 00033,Healthcare,Makassar,INACTIVE,LARGE,2022-11-05 00:43:01
M000034,Retail Merchant 00034,Retail,Jakarta,ACTIVE,MEDIUM,2025-02-04 07:52:13
M000035,Entertainment Merchant 00035,Entertainment,Tangerang,ACTIVE,SMALL,2026-03-14 23:07:18
M000036,Electronics Merchant 00036,Electronics,Palembang,INACTIVE,SMALL,2023-01-16 23:26:02
M000037,Travel Merchant 00037,Travel,Yogyakarta,ACTIVE,MEDIUM,2025-06-01 03:53:01
M000038,Retail Merchant 00038,Retail,Makassar,ACTIVE,MEDIUM,2022-11-21 08:41:13
M000039,Travel Merchant 00039,Travel,Jakarta,INACTIVE,SMALL,2026-06-28 16:19:45
M000040,Fashion Merchant 00040,Fashion,Bandung,ACTIVE,SMALL,2022-07-19 06:07:49
M000041,Fashion Merchant 00041,Fashion,Surabaya,ACTIVE,SMALL,2026-04-12 03:13:01
M000042,Food & Beverage Merchant 00042,Food & Beverage,Bandung,ACTIVE,MEDIUM,2025-11-18 11:03:30
M000043,Education Merchant 00043,Education,Palembang,ACTIVE,SMALL,2023-08-02 05:14:44
M000044,Retail Merchant 00044,Retail,Makassar,INACTIVE,SMALL,2023-10-27 06:17:57
M000045,Groceries Merchant 00045,Groceries,Semarang,ACTIVE,SMALL,2025-06-15 06:25:58
M000046,Food & Beverage Merchant 00046,Food & Beverage,Yogyakarta,INACTIVE,SMALL,2023-08-02 05:55:43
M000047,Healthcare Merchant 00047,Healthcare,Bandung,INACTIVE,SMALL,2022-05-31 21:14:59
M000048,Education Merchant 00048,Education,Tangerang,ACTIVE,SMALL,2022-10-27 21:16:23
M000049,Education Merchant 00049,Education,Tangerang,ACTIVE,MEDIUM,2026-02-04 20:14:16
M000050,Healthcare Merchant 00050,Healthcare,Semarang,ACTIVE,SMALL,2022-02-02 15:13:21
M000051,Healthcare Merchant 00051,Healthcare,Surabaya,ACTIVE,SMALL,2024-02-06 16:31:49
M000052,Electronics Merchant 00052,Electronics,Surabaya,ACTIVE,SMALL,2025-06-13 17:05:50
M000053,Travel Merchant 00053,Travel,Semarang,ACTIVE,SMALL,2022-07-28 18:21:26
M000054,Retail Merchant 00054,Retail,Tangerang,ACTIVE,SMALL,2025-10-22 08:18:26
M000055,Groceries Merchant 00055,Groceries,Medan,ACTIVE,SMALL,2022-01-04 19:35:01
M000056,Fashion Merchant 00056,Fashion,Bandung,ACTIVE,SMALL,2023-06-22 20:16:06
M000057,Fashion Merchant 00057,Fashion,Medan,ACTIVE,MEDIUM,2022-04-10 22:32:09
M000058,Healthcare Merchant 00058,Healthcare,Denpasar,ACTIVE,SMALL,2023-01-27 11:45:08
M000059,Travel Merchant 00059,Travel,Surabaya,ACTIVE,LARGE,2025-02-09 10:01:56
M000060,Groceries Merchant 00060,Groceries,Medan,ACTIVE,SMALL,2023-01-10 03:46:19
M000061,Transportation Merchant 00061,Transportation,Semarang,ACTIVE,SMALL,2022-04-22 00:28:39
M000062,Travel Merchant 00062,Travel,Tangerang,ACTIVE,MEDIUM,2026-04-30 12:31:54
M000063,Healthcare Merchant 00063,Healthcare,Yogyakarta,ACTIVE,SMALL,2022-07-10 20:49:51
M000064,Transportation Merchant 00064,Transportation,Bandung,ACTIVE,SMALL,2024-02-20 16:10:35
M000065,Groceries Merchant 00065,Groceries,Bandung,ACTIVE,MEDIUM,2025-10-07 21:56:11
M000066,Entertainment Merchant 00066,Entertainment,Yogyakarta,ACTIVE,SMALL,2022-06-28 09:17:14
M000067,Retail Merchant 00067,Retail,Bandung,ACTIVE,SMALL,2023-10-13 23:48:34
M000068,Education Merchant 00068,Education,Denpasar,ACTIVE,SMALL,2026-06-20 04:13:25
M000069,Retail Merchant 00069,Retail,Tangerang,ACTIVE,SMALL,2022-02-20 05:01:04
M000070,Electronics Merchant 00070,Electronics,Medan,ACTIVE,SMALL,2026-03-18 17:02:07
M000071,Food & Beverage Merchant 00071,Food & Beverage,Makassar,ACTIVE,MEDIUM,2024-12-22 19:51:07
M000072,Entertainment Merchant 00072,Entertainment,Makassar,ACTIVE,MEDIUM,2024-07-23 21:28:19
M000073,Retail Merchant 00073,Retail,Palembang,ACTIVE,SMALL,2023-08-12 22:22:24
M000074,Transportation Merchant 00074,Transportation,Bandung,ACTIVE,SMALL,2022-11-28 04:55:03
M000075,Healthcare Merchant 00075,Healthcare,Semarang,ACTIVE,SMALL,2023-04-07 18:19:36
M000076,Food & Beverage Merchant 00076,Food & Beverage,Tangerang,INACTIVE,SMALL,2025-10-09 02:12:57
M000077,Transportation Merchant 00077,Transportation,Semarang,INACTIVE,MEDIUM,2026-04-02 06:59:39
M000078,Transportation Merchant 00078,Transportation,Makassar,ACTIVE,LARGE,2022-11-18 00:50:33
M000079,Healthcare Merchant 00079,Healthcare,Semarang,ACTIVE,SMALL,2022-03-08 09:25:44
M000080,Fashion Merchant 00080,Fashion,Yogyakarta,ACTIVE,MEDIUM,2022-01-20 13:51:10
M000081,Fashion Merchant 00081,Fashion,Bandung,ACTIVE,SMALL,2024-02-29 15:02:15
M000082,Groceries Merchant 00082,Groceries,Tangerang,ACTIVE,SMALL,2025-04-09 20:52:56
M000083,Transportation Merchant 00083,Transportation,Yogyakarta,ACTIVE,SMALL,2024-04-18 22:04:42
M000084,Transportation Merchant 00084,Transportation,Bandung,SUSPENDED,SMALL,2022-12-10 18:35:43
M000085,Healthcare Merchant 00085,Healthcare,Medan,INACTIVE,SMALL,2024-07-07 07:55:03
M000086,Electronics Merchant 00086,Electronics,Jakarta,ACTIVE,SMALL,2024-05-24 10:40:57
M000087,Groceries Merchant 00087,Groceries,Jakarta,ACTIVE,SMALL,2025-12-26 15:14:34
M000088,Electronics Merchant 00088,Electronics,Semarang,ACTIVE,MEDIUM,2025-10-01 00:40:36
M000089,Electronics Merchant 00089,Electronics,Semarang,ACTIVE,SMALL,2024-12-13 05:58:56
M000090,Electronics Merchant 00090,Electronics,Semarang,ACTIVE,SMALL,2024-10-19 23:09:53
M000091,Groceries Merchant 00091,Groceries,Surabaya,ACTIVE,SMALL,2022-06-18 07:22:26
M000092,Fashion Merchant 00092,Fashion,Denpasar,ACTIVE,SMALL,2023-05-18 02:56:35
M000093,Food & Beverage Merchant 00093,Food & Beverage,Surabaya,ACTIVE,SMALL,2025-03-23 01:51:17
M000094,Electronics Merchant 00094,Electronics,Jakarta,ACTIVE,SMALL,2022-10-25 15:31:07
M000095,Education Merchant 00095,Education,Denpasar,ACTIVE,SMALL,2025-08-08 22:45:09
M000096,Healthcare Merchant 00096,Healthcare,Surabaya,ACTIVE,MEDIUM,2023-01-29 00:12:29
